BJD RV eRV Sindex Halpha PhotonCount ObsTime
2458708.47401 -7.11 0.45 0.1879 0.04396 32293 3
2458708.47477 -5.13 0.45 0.1872 0.04391 29410 3
2458708.47552 -6.67 0.45 0.1908 0.04416 20363 2
2458708.47627 -6.66 0.42 0.1891 0.04408 22098 2
2458708.47704 -7.14 0.46 0.1899 0.04409 21154 2
2458708.4778 -6.28 0.43 0.1884 0.04416 21637 2
2458708.47855 -5.78 0.46 0.1886 0.04407 22220 2
2458708.47931 -7.66 0.43 0.1903 0.04389 16985 2
2458709.46667 -6.93 0.48 0.1914 0.04444 11781 2
2458709.46757 -9.45 0.45 0.1887 0.04423 17997 2
2458709.46833 -7.33 0.46 0.1885 0.04463 18857 2
2458709.4691 -7.95 0.46 0.1864 0.04442 19395 2
2458709.46987 -9.09 0.45 0.187 0.04446 23268 2
2458709.47063 -8.02 0.45 0.189 0.04454 22872 2
2458709.47138 -7.95 0.42 0.1876 0.04452 23678 2
2458709.47213 -8.7 0.44 0.1871 0.04447 23274 2
2458709.47289 -8.36 0.46 0.1863 0.04445 25063 2
2458709.47366 -8.4 0.41 0.1864 0.04443 23089 2
2458710.4662 -4.83 0.46 0.1923 0.04462 19435 3
2458710.46711 -6.78 0.45 0.191 0.04479 24550 3
2458710.46787 -6.34 0.43 0.1912 0.04451 19858 3
2458710.46866 -6.58 0.45 0.1909 0.04462 21590 3
2458710.46942 -5.81 0.47 0.1911 0.04462 22828 3
2458710.47018 -5.9 0.45 0.1924 0.04486 18054 3
2458710.47095 -6.25 0.45 0.1909 0.04477 20245 3
2458710.4717 -6.12 0.46 0.1922 0.04474 16947 3
2458710.47248 -6.33 0.51 0.193 0.04491 16432 3
2458710.47324 -6.1 0.47 0.1914 0.04483 17532 3
2458712.46604 2.26 0.51 0.1998 0.04417 9296 3
2458712.46771 -2.3 0.44 0.1961 0.04428 14618 4
2458712.46848 -3.56 0.45 0.1951 0.04435 17043 4
2458712.46927 -4.21 0.49 0.1949 0.04434 18260 4
2458712.47006 -5.03 0.45 0.1939 0.04439 19756 4
2458712.47083 -3.95 0.48 0.1955 0.04437 18248 4
2458712.47161 -3.64 0.48 0.1956 0.04435 15713 4
2458712.4724 -5.79 0.45 0.1929 0.04441 21666 4
2458712.47317 1.03 0.47 0.1964 0.0443 12725 4
2458712.47395 -4.36 0.48 0.1935 0.04408 16846 4
2458713.463 -6.98 0.45 0.1931 0.04471 20028 3
2458713.46389 -6.01 0.44 0.1926 0.04465 18225 3
2458713.46466 -5.86 0.5 0.1916 0.04462 16271 3
2458713.46542 -5.75 0.49 0.1928 0.04458 16728 3
2458713.4662 -4.76 0.47 0.1928 0.04459 17478 3
2458713.46698 -8.24 0.46 0.1921 0.04464 20614 3
2458713.46773 -7.5 0.45 0.1908 0.04452 23257 3
2458713.4685 -7.28 0.48 0.1907 0.04467 22716 3
2458713.46926 -6.57 0.47 0.1907 0.04457 24586 3
2458713.47002 -6.7 0.46 0.1913 0.0446 21953 3
2458714.46434 -6.64 0.47 0.1935 0.0445 18699 3
2458714.4652 -6.89 0.5 0.1955 0.04459 15913 3
2458714.46597 -6.23 0.47 0.192 0.04444 20514 3
2458714.46674 -6.87 0.48 0.1934 0.04428 16876 3
2458714.46751 -6.29 0.51 0.1929 0.04446 17488 3
2458714.46827 -5.79 0.5 0.1948 0.04434 14871 3
2458714.46905 -5.13 0.5 0.1952 0.04451 14219 3
2458714.46981 -6.55 0.47 0.1932 0.04455 17500 3
2458714.47058 -5.92 0.52 0.1958 0.04462 17294 3
2458714.47135 -5.16 0.53 0.1968 0.04453 12884 3
2458715.46426 -2.92 0.54 0.2013 0.04429 7966 3
2458715.46505 -5.93 0.48 0.1971 0.04399 10987 3
2458715.46582 -6.99 0.52 0.1976 0.04391 11454 3
2458715.46661 -6.27 0.52 0.1956 0.04412 13905 3
2458715.46737 -5.58 0.49 0.1959 0.04416 13954 3
2458715.46815 -7.82 0.53 0.2004 0.04409 9664 3
2458715.46891 -3.9 0.56 0.2046 0.04391 7193 3
2458715.46969 -5.77 0.59 0.2054 0.0441 6692 3
2458715.47045 -2.98 0.59 0.2019 0.044 6674 3
2458716.46409 -10.57 0.46 0.1884 0.0437 35255 3
2458716.465 -10.89 0.47 0.1904 0.04383 28529 2
2458716.46576 -11.98 0.47 0.191 0.04387 24835 2
2458716.46654 -12.09 0.48 0.1918 0.0438 25048 2
2458716.4673 -11.26 0.47 0.189 0.04392 27912 2
2458716.46804 -10.44 0.5 0.1918 0.04393 24237 2
2458716.46881 -11.7 0.47 0.1912 0.04396 24970 2
2458716.46958 -10.16 0.49 0.1916 0.04392 25069 2
2458716.47035 -10.21 0.48 0.1898 0.04402 24909 2
2458716.47111 -11.95 0.46 0.1909 0.04379 27148 2
2458717.46253 -9.09 0.49 0.1933 0.04391 23541 4
2458717.46332 -9.8 0.47 0.1946 0.04415 24429 4
2458717.4641 -8.93 0.46 0.1911 0.04424 28857 4
2458717.46488 -9.47 0.45 0.195 0.0442 23405 4
2458717.46568 -10.59 0.47 0.1926 0.0441 30854 4
2458717.46646 -7.01 0.47 0.1952 0.04386 16122 4
2458717.46724 -9.48 0.45 0.1936 0.04383 25310 4
2458717.46802 -9.83 0.45 0.1939 0.04397 24835 4
2458717.46882 -9.78 0.49 0.1963 0.0439 20193 4
2458717.46961 -9.39 0.48 0.193 0.04403 24949 4
2458738.47501 -29.32 0.4 0.1843 0.0438 28512 5
2458738.4758 -29.92 0.4 0.1862 0.04371 26231 5
2458738.4766 -28.77 0.36 0.187 0.04381 28242 6
2458738.47741 -29.44 0.39 0.1864 0.04385 28178 6
2458738.47819 -30.29 0.38 0.1851 0.04389 30964 5
2458738.47901 -28.14 0.4 0.1859 0.04386 28819 6
2458738.47979 -29.13 0.42 0.188 0.04397 26734 5
2458738.48058 -29.95 0.39 0.1861 0.04384 26710 5
2458738.48137 -29.16 0.4 0.186 0.04377 26154 5
2458738.48215 -28.72 0.42 0.186 0.04384 26991 4
2458739.48058 -28.95 0.38 0.1873 0.0443 25742 5
2458739.48139 -28.79 0.39 0.1881 0.04426 25077 6
2458739.48218 -31.48 0.38 0.1872 0.04437 26255 5
2458739.48296 -31.7 0.41 0.188 0.04421 29464 5
2458739.48376 -29.53 0.4 0.187 0.04439 32013 5
2458739.48455 -31.03 0.39 0.186 0.04439 28137 5
2458739.48535 -31.71 0.4 0.1886 0.04432 25423 5
2458739.48613 -31.38 0.36 0.1869 0.04439 26634 5
2458739.48693 -29.51 0.36 0.1869 0.04432 30666 6
2458739.48772 -31.42 0.37 0.1866 0.04426 31527 5
2458740.47279 -26.34 0.38 0.1869 0.0434 23786 8
2458740.47362 -24.85 0.42 0.1878 0.04336 24340 9
2458740.47447 -23.52 0.41 0.186 0.04333 24280 10
2458740.47531 -22.68 0.42 0.1875 0.04332 23856 9
2458740.47616 -23.92 0.4 0.1867 0.04335 23870 9
2458740.477 -22.61 0.41 0.1874 0.04337 26073 10
2458740.47784 -28.91 0.37 0.1868 0.0434 24292 7
2458740.47865 -28.14 0.38 0.1871 0.04335 23126 7
2458740.47948 -25.76 0.4 0.1856 0.04387 26138 9
2458740.48031 -28.81 0.36 0.1873 0.04399 24312 7
2458741.47576 -26.43 0.43 0.1871 0.04344 18012 6
2458741.47656 -30.67 0.41 0.1873 0.04346 23999 7
2458741.47737 -29.55 0.4 0.187 0.04355 25203 7
2458741.47819 -29.34 0.4 0.1862 0.04362 24542 7
2458741.47902 -29.25 0.39 0.1879 0.04357 24985 7
2458741.47984 -29.81 0.39 0.1868 0.04355 24584 7
2458741.48067 -25.58 0.4 0.1873 0.04346 25303 9
2458741.48154 -26.45 0.39 0.186 0.04343 26268 10
2458741.48236 -29.85 0.41 0.1868 0.04349 24144 7
2458741.48317 -30.98 0.4 0.1866 0.0434 25181 7
2458742.47572 -31.25 0.42 0.1853 0.04322 23483 4
2458742.47648 -34.02 0.41 0.1852 0.04355 21134 3
2458742.47727 -32.98 0.41 0.1861 0.04361 20389 3
2458742.47806 -31.87 0.38 0.1853 0.04339 20968 5
2458742.47885 -32.49 0.39 0.1858 0.0434 23319 4
2458742.47963 -32.44 0.4 0.1852 0.04334 20146 3
2458742.48039 -32.53 0.4 0.1857 0.0435 22090 3
2458742.48118 -32.39 0.41 0.1868 0.04352 17374 3
2458742.48196 -31.62 0.4 0.1867 0.04341 18560 3
2458742.48272 -32.49 0.38 0.1865 0.0434 19126 3
