BJD RV eRV Sindex Halpha PhotonCount ObsTime
2458706.45296 6.01 0.46 0.1414 0.03564 47541 2
2458706.45378 7.2 0.48 0.141 0.03524 50894 2
2458706.45454 6.78 0.47 0.1404 0.03526 56114 2
2458706.45529 3.17 0.48 0.1413 0.03547 55496 2
2458706.45604 5.94 0.46 0.1404 0.03534 60287 2
2458706.45679 9.27 0.47 0.1407 0.03528 53659 2
2458706.45756 6.41 0.48 0.1403 0.03529 53919 2
2458706.45831 7.28 0.44 0.1407 0.03531 48694 2
2458706.45906 1.77 0.46 0.1412 0.03548 54804 2
2458706.45982 7.03 0.46 0.1411 0.03547 55970 2
2458707.46418 3.2 0.53 0.1416 0.03484 16060 2
2458707.46501 0.87 0.56 0.1442 0.03489 12158 2
2458707.46576 4.84 0.52 0.1415 0.03499 23971 2
2458707.46652 3.62 0.5 0.1419 0.03497 22744 2
2458707.46728 4.5 0.53 0.1424 0.03488 18999 2
2458707.46804 5.48 0.51 0.1398 0.0351 29233 2
2458707.46881 4.62 0.52 0.1401 0.03513 32528 2
2458707.46956 3.69 0.53 0.1408 0.03492 23383 2
2458707.47032 5.86 0.49 0.1414 0.03495 25207 2
2458707.47109 6.39 0.49 0.1405 0.03553 34716 2
2458708.4612 0.18 0.48 0.1386 0.03517 74099 2
2458708.46496 0.48 0.47 0.1388 0.0353 66571 2
2458708.46571 0.45 0.48 0.1385 0.03522 64768 2
2458708.46687 -3.37 0.52 0.1452 0.03489 19238 2
2458708.4678 5.08 0.47 0.138 0.03526 87656 2
2458708.46855 4.97 0.47 0.1376 0.03531 81065 2
2458708.46931 2.92 0.48 0.1378 0.03527 68473 2
2458708.47007 3.27 0.47 0.1381 0.03536 74672 2
2458708.47083 1.75 0.46 0.1377 0.03535 60178 2
2458708.47157 8.25 0.48 0.1379 0.03544 63340 2
2458708.47234 1.92 0.48 0.1376 0.03531 67382 2
2458708.47309 1.2 0.47 0.1383 0.03532 68192 2
2458709.45798 -3.93 0.5 0.1377 0.03554 70627 2
2458709.45878 2.06 0.54 0.1387 0.0355 39742 1
2458709.45954 -2.39 0.5 0.1398 0.03544 31393 1
2458709.46028 -0.19 0.55 0.1407 0.03532 26579 1
2458709.46102 -3.29 0.49 0.1413 0.03541 23885 1
2458709.46176 -6.13 0.51 0.1409 0.0354 26971 1
2458709.4625 -2.86 0.54 0.1418 0.03505 17065 1
2458709.46325 -4.02 0.57 0.1392 0.03521 14980 1
2458709.46399 -4.75 0.64 0.144 0.03511 10702 1
2458709.46476 -5.5 0.6 0.1424 0.03534 12808 1
2458710.45829 3.64 0.51 0.1416 0.03584 36010 2
2458710.45914 4.25 0.49 0.1407 0.03608 50084 2
2458710.4599 3.9 0.49 0.1418 0.03594 38899 2
2458710.46065 5.01 0.5 0.1423 0.03583 27878 2
2458710.4614 4.61 0.51 0.1423 0.03592 24995 2
2458710.46216 2.79 0.48 0.1416 0.03592 33366 2
2458710.46292 4.51 0.5 0.1416 0.03612 36490 2
2458710.46367 1.35 0.49 0.1419 0.03603 23982 2
2458710.46442 -0.13 0.55 0.1423 0.03586 24748 2
2458710.46519 3.97 0.53 0.142 0.03594 26093 2
2458712.45599 5.44 0.54 0.142 0.03558 22845 2
2458712.45691 6.97 0.63 0.1485 0.03564 9334 1
2458712.45878 3.9 0.57 0.1446 0.03557 17038 2
2458712.45954 4.73 0.57 0.1432 0.03562 19059 2
2458712.46029 5.05 0.54 0.1433 0.03549 24346 2
2458712.46103 4.9 0.55 0.1435 0.0355 22095 2
2458712.46181 5.36 0.52 0.1426 0.03558 28154 2
2458712.46255 4.6 0.59 0.1432 0.0355 20023 2
2458712.4633 3.97 0.54 0.1449 0.03549 18036 2
2458712.46406 5.38 0.55 0.1437 0.03538 19047 2
2458713.45522 6.47 0.53 0.1383 0.03569 40539 3
2458713.4561 5.35 0.52 0.139 0.03568 36376 2
2458713.45686 4.74 0.54 0.1387 0.03581 39787 2
2458713.45763 5.89 0.52 0.139 0.03577 39557 2
2458713.45838 9.19 0.53 0.139 0.03588 35280 2
2458713.45913 8.41 0.51 0.1386 0.03583 40632 2
2458713.4599 6.3 0.5 0.14 0.03584 29791 2
2458713.46065 5.19 0.53 0.14 0.03593 38527 2
2458713.4614 6.33 0.51 0.1391 0.0358 46095 2
2458713.46215 3.5 0.49 0.1393 0.03595 42592 2
2458714.45639 6.44 0.53 0.1399 0.03589 34629 2
2458714.4572 8.72 0.5 0.1385 0.03568 44149 2
2458714.45796 7.87 0.52 0.1394 0.03571 41964 2
2458714.45873 7.11 0.52 0.1394 0.03579 40577 2
2458714.4595 4.64 0.54 0.1385 0.0358 45527 2
2458714.46025 6.52 0.54 0.1391 0.03585 39999 2
2458714.46101 6.21 0.51 0.1389 0.03583 40666 2
2458714.46177 5.25 0.51 0.1393 0.03566 40820 2
2458714.46253 6.67 0.5 0.1393 0.03573 42035 2
2458714.4633 6.06 0.53 0.1395 0.03559 42564 2
2458715.4564 9.46 0.6 0.1403 0.03564 22241 3
2458715.45716 8.76 0.58 0.1391 0.03549 25443 3
2458715.45793 9.46 0.54 0.1381 0.03573 34421 3
2458715.45873 6.98 0.55 0.14 0.03572 27599 3
2458715.45948 5.41 0.54 0.1388 0.0357 33161 3
2458715.46025 7.88 0.6 0.1434 0.03573 15265 2
2458715.46101 10.82 0.56 0.141 0.03572 19707 2
2458715.46178 11.87 0.59 0.1413 0.03569 20687 2
2458715.46256 9.26 0.58 0.1421 0.03562 20320 2
2458715.46331 7.4 0.57 0.1423 0.03552 18497 2
2458716.45603 9.52 0.52 0.1349 0.03513 125443 4
2458716.45683 3.8 0.53 0.1353 0.03514 157022 4
2458716.4576 2.96 0.53 0.1356 0.03514 85149 2
2458716.45836 6.46 0.5 0.1373 0.03516 56959 2
2458716.45913 4.63 0.51 0.1388 0.03517 56112 2
2458716.4599 8.64 0.52 0.138 0.0351 36689 2
2458716.46066 10.79 0.53 0.1375 0.03519 77539 2
2458716.46142 11.09 0.53 0.1358 0.03531 66881 2
2458716.46219 5.77 0.49 0.1366 0.03505 72594 2
2458716.46295 6.54 0.49 0.1376 0.03508 75093 2
2458717.45479 9.17 0.56 0.1397 0.0353 29520 2
2458717.45556 11.17 0.54 0.1402 0.03525 26374 2
2458717.45631 10.92 0.56 0.1393 0.03558 31601 2
2458717.45707 12.25 0.52 0.1404 0.03543 25743 2
2458717.45782 9.59 0.58 0.1407 0.03562 33638 2
2458717.45858 9.59 0.57 0.1402 0.03533 31745 2
2458717.45932 9.39 0.55 0.1381 0.0353 37793 2
2458717.46006 9.66 0.55 0.1391 0.03509 41774 2
2458717.46082 10.69 0.54 0.1398 0.03531 35785 2
2458717.46157 10.89 0.53 0.1391 0.03536 46342 2
2458738.46689 23.43 0.38 0.1375 0.03505 61005 3
2458738.46765 22.29 0.4 0.137 0.03519 62321 3
2458738.46841 22.22 0.4 0.1364 0.03519 58176 3
2458738.46919 22 0.39 0.1352 0.03517 64166 3
2458738.46997 25.3 0.4 0.1355 0.03528 52197 3
2458738.47073 24.12 0.37 0.1371 0.03518 60371 3
2458738.4715 24.46 0.39 0.1361 0.03508 52728 3
2458738.47227 23.24 0.37 0.1359 0.03515 61162 3
2458738.47304 22.99 0.4 0.1355 0.03519 51810 3
2458738.47382 22.57 0.4 0.1353 0.03521 51301 3
2458739.47259 24.4 0.39 0.1381 0.03563 48753 3
2458739.47336 22.88 0.37 0.1381 0.03547 38129 3
2458739.47413 24.14 0.4 0.139 0.03561 33736 2
2458739.47488 24.88 0.4 0.1387 0.03547 29018 3
2458739.47567 26.4 0.37 0.1383 0.03563 44204 3
2458739.47645 25.28 0.4 0.1405 0.03554 24823 3
2458739.47721 23.94 0.4 0.1401 0.03561 24794 3
2458739.47799 24.49 0.39 0.1383 0.0357 44573 3
2458739.47874 23.9 0.37 0.1365 0.03561 62193 2
2458739.47949 25.24 0.38 0.1371 0.03566 54495 2
2458740.46462 24.28 0.4 0.1384 0.03491 38136 3
2458740.46538 25.42 0.37 0.1376 0.03484 40701 3
2458740.46616 27.09 0.39 0.1396 0.03483 29726 2
2458740.46691 26.36 0.39 0.1385 0.03473 33128 3
2458740.46769 24.33 0.44 0.1393 0.03481 25281 3
2458740.46845 25.8 0.43 0.1396 0.03485 29499 2
2458740.46923 25.17 0.37 0.1368 0.03481 48595 4
2458740.47 23.77 0.43 0.1401 0.0347 27075 3
2458740.47077 24.65 0.39 0.1376 0.03479 34875 3
2458740.47155 23.41 0.4 0.1385 0.03474 26849 4
2458741.46789 25.45 0.4 0.1369 0.03499 38637 3
2458741.46867 26.09 0.39 0.1386 0.03496 29580 2
2458741.46942 26.73 0.39 0.1364 0.03495 40396 3
2458741.4702 26.93 0.39 0.1373 0.03496 37984 3
2458741.47096 24.67 0.37 0.1371 0.03489 30962 3
2458741.47173 25.63 0.41 0.1374 0.03487 25292 2
2458741.47249 25.48 0.41 0.1386 0.03485 26664 2
2458741.47324 24.27 0.38 0.1374 0.03489 31562 2
2458741.47399 25.65 0.41 0.136 0.03491 36367 2
2458741.47476 23.99 0.39 0.136 0.03495 48459 4
2458742.46719 23.94 0.38 0.133 0.03491 74040 3
2458742.46795 26.06 0.34 0.1333 0.03496 80996 3
2458742.46871 26.82 0.35 0.134 0.03499 77812 3
2458742.46948 27.74 0.35 0.1332 0.03492 81420 3
2458742.47026 27.51 0.36 0.1333 0.03493 81681 3
2458742.47102 25.76 0.36 0.1333 0.03499 87035 3
2458742.47179 24.01 0.36 0.1333 0.03493 85012 3
2458742.47258 25.16 0.35 0.1344 0.0349 78357 3
2458742.47336 25.99 0.37 0.1341 0.03491 73867 3
2458742.47414 27.9 0.37 0.1345 0.03489 68687 3
